order_id,order_date,customer_id,area,tiffin_type,meal_type,order_time,delivery_partner,delivery_distance_km,prep_time_min,delivery_time_min,quantity,discount,order_amount,payment_method,order_status,customer_rating,complaint,,,,,
1,21-06-2025,C109,Madhapur,Veg,Breakfast,07:30:00,Rahul,5.6,17,41,1,0,80,UPI,Late,5,No,,,,,
2,28-04-2025,C002,Dilsukhnagar,Non-Veg,Breakfast,07:20:00,Suresh,7.9,16,38,2,10,220,Wallet,Delivered,4,No,,,,,
3,14-05-2025,C068,Dilsukhnagar,Jain,Lunch,12:20:00,Rahul,8,22,37,1,0,135,Wallet,Delivered,3,No,,,,,
4,08-06-2025,C012,Manikonda,Veg,Breakfast,10:10:00,Vikram,5.7,15,32,2,15,145,Card,Delivered,5,No,,,,,
5,11-04-2025,C069,Miyapur,Veg,Breakfast,07:45:00,Amit,5,8,21,1,0,80,Cash,Delivered,4,No,,,order_id,serial primary key,
6,08-06-2025,C015,Gachibowli,Veg,Dinner,19:15:00,Rahul,3.3,11,34,1,20,110,Card,Late,5,No,,,order_date, date,
7,22-05-2025,C118,Kondapur,Jain,Lunch,11:20:00,Arun,2.5,9,41,1,20,115,Cash,Delivered,4,No,,,customer_id,varchar,
8,02-05-2025,C013,LB Nagar,Non-Veg,Dinner,20:45:00,Amit,4,18,21,1,0,165,Cash,Delivered,4,No,,,area,varchar,
9,20-06-2025,C142,LB Nagar,Veg,Breakfast,10:10:00,Rahul,3.3,18,22,1,10,70,UPI,Cancelled,0,No,,,tiffin_type,varchar,
10,27-06-2025,C068,Banjara Hills,Veg,Dinner,20:40:00,Suresh,5.3,14,33,1,10,120,UPI,Delivered,0,No,,,meal_type,varchar,
11,20-06-2025,C029,Uppal,Veg,Lunch,12:15:00,Kiran,3.2,29,31,1,15,105,Card,Delivered,5,No,,,order_time,time,
12,01-05-2025,C033,Manikonda,Veg,Breakfast,08:10:00,Imran,2.2,22,19,1,0,80,Cash,Cancelled,0,No,,,delivery_partner,varchar,
13,04-05-2025,C096,Secunderabad,Jain,Dinner,21:20:00,Imran,5,8,24,2,20,270,UPI,Delivered,5,No,,,delivery_distance_km,,decimal
